category_id,duration_sec,subscriber_count,publish_hour,publish_dayofweek,publish_month,actual,predicted,probability_high,actual_label,predicted_label
24,1057.0,16400000.0,14,5,3,1,1,0.7768652972030244,High Engagement,High Engagement
26,666.0,271000.0,17,5,5,0,0,0.34578767726712445,Low Engagement,Low Engagement
20,787.0,485000.0,20,1,3,1,0,0.38575588784996456,High Engagement,Low Engagement
20,1079.0,19600000.0,20,3,9,1,1,0.7645896131800954,High Engagement,High Engagement
27,6735.0,9870000.0,2,5,11,1,0,0.4474530318086353,High Engagement,Low Engagement
25,1955.0,2820000.0,11,2,9,0,0,0.35600686452253383,Low Engagement,Low Engagement
27,1099.0,57100.0,14,0,11,0,0,0.17882168777401708,Low Engagement,Low Engagement
26,1536.0,1840000.0,13,2,9,0,0,0.3988330300124897,Low Engagement,Low Engagement
25,967.0,6610000.0,21,3,5,0,0,0.38755716555083514,Low Engagement,Low Engagement
17,342.0,5340000.0,9,4,12,0,1,0.5066225734167837,Low Engagement,High Engagement
24,495.0,17500000.0,0,4,8,1,1,0.7963260021291305,High Engagement,High Engagement
27,1354.0,68800.0,13,3,4,0,0,0.3072787772233783,Low Engagement,Low Engagement
29,1057.0,43900000.0,18,2,12,0,0,0.297991657208696,Low Engagement,Low Engagement
20,817.0,6750000.0,6,6,1,1,1,0.6450126435062989,High Engagement,High Engagement
29,617.0,43900000.0,14,1,6,0,0,0.3197704269131203,Low Engagement,Low Engagement
22,823.0,11700000.0,19,5,11,0,1,0.576421565595478,Low Engagement,High Engagement
24,318.0,26900000.0,13,5,9,0,1,0.8033715682686462,Low Engagement,High Engagement
26,500.0,779000.0,13,6,5,1,0,0.41309283626187276,High Engagement,Low Engagement
22,681.0,10500000.0,13,1,7,1,1,0.7375046919110922,High Engagement,High Engagement
28,411.0,13200000.0,21,6,1,1,1,0.7078598297448637,High Engagement,High Engagement
20,1287.0,55700.0,15,2,12,1,0,0.2904707486642032,High Engagement,Low Engagement
28,291.0,4060000.0,20,2,1,1,0,0.42069918130636785,High Engagement,Low Engagement
27,309.0,461000.0,12,3,3,1,0,0.3708083971106069,High Engagement,Low Engagement
20,593.0,35900.0,14,0,1,0,0,0.33296265119714896,Low Engagement,Low Engagement
26,738.0,3700000.0,22,0,2,1,0,0.46188568207609637,High Engagement,Low Engagement
27,1775.0,48800.0,14,6,4,0,0,0.3202535528703169,Low Engagement,Low Engagement
26,532.0,44700000.0,11,0,1,0,1,0.740512460112886,Low Engagement,High Engagement
27,483.0,153000.0,14,2,3,0,0,0.34858351133783844,Low Engagement,Low Engagement
23,437.0,20600000.0,19,2,3,1,1,0.7185003882237742,High Engagement,High Engagement
20,1132.0,84500.0,9,1,11,0,0,0.1833746144800086,Low Engagement,Low Engagement
28,391.0,1030000.0,16,3,9,0,0,0.37288113215989105,Low Engagement,Low Engagement
22,1798.0,4250000.0,18,3,5,0,1,0.5328292729147278,Low Engagement,High Engagement
25,395.0,2390000.0,14,2,6,1,0,0.30472797139479074,High Engagement,Low Engagement
23,453.0,949000.0,17,4,5,0,0,0.4149525154558054,Low Engagement,Low Engagement
20,1108.0,15000000.0,17,4,5,1,1,0.7407879751266294,High Engagement,High Engagement
27,360.0,7880000.0,15,5,3,1,1,0.7473139291112108,High Engagement,High Engagement
28,389.0,1730000.0,12,6,12,0,0,0.3757075039220786,Low Engagement,Low Engagement
23,523.0,33100000.0,4,3,8,1,1,0.644665535301751,High Engagement,High Engagement
20,483.0,5390000.0,16,5,11,0,0,0.48873282523377165,Low Engagement,Low Engagement
15,701.0,2740000.0,19,3,8,0,0,0.45803330810911175,Low Engagement,Low Engagement
27,934.0,14600000.0,2,4,2,1,1,0.7308120383314407,High Engagement,High Engagement
23,414.0,33100000.0,12,2,3,1,1,0.6620737095363394,High Engagement,High Engagement
24,295.0,10500000.0,13,1,8,1,1,0.7800361139993158,High Engagement,High Engagement
17,341.0,14200000.0,21,0,4,0,1,0.6056237335953536,Low Engagement,High Engagement
26,811.0,3110000.0,17,5,6,0,0,0.48258257060954113,Low Engagement,Low Engagement
20,644.0,6750000.0,8,1,11,0,0,0.4488128480252131,Low Engagement,Low Engagement
10,300.0,25400000.0,12,1,6,1,1,0.7253141918020695,High Engagement,High Engagement
22,897.0,4520000.0,15,5,10,0,1,0.5482963794177081,Low Engagement,High Engagement
2,1714.0,1520000.0,13,6,7,0,0,0.39172122069813703,Low Engagement,Low Engagement
15,315.0,6340.0,7,0,2,0,0,0.24695614659207354,Low Engagement,Low Engagement
20,329.0,16000000.0,22,1,10,1,1,0.6965514754092494,High Engagement,High Engagement
26,826.0,21300000.0,15,6,3,1,1,0.819740315640127,High Engagement,High Engagement
28,799.0,24700000.0,14,6,11,1,1,0.5587086095547303,High Engagement,High Engagement
26,1381.0,1330000.0,9,4,4,0,0,0.373205580713817,Low Engagement,Low Engagement
24,1127.0,10600000.0,17,4,1,1,1,0.7942067089726912,High Engagement,High Engagement
28,1123.0,100000.0,18,5,12,1,0,0.3189257948274851,High Engagement,Low Engagement
28,878.0,1210000.0,14,6,9,0,0,0.3671279332635233,Low Engagement,Low Engagement
1,780.0,108000000.0,9,2,11,0,0,0.2900785495503397,Low Engagement,Low Engagement
1,1057.0,3200000.0,15,6,1,0,1,0.7747050550695819,Low Engagement,High Engagement
27,1471.0,19700000.0,13,4,4,1,1,0.7024956868703073,High Engagement,High Engagement
26,1212.0,10600000.0,4,0,3,1,1,0.6580857240364774,High Engagement,High Engagement
20,701.0,682000.0,22,0,11,0,0,0.22490308737476483,Low Engagement,Low Engagement
1,852.0,209000.0,11,6,6,1,0,0.480483515292502,High Engagement,Low Engagement
28,327.0,4330000.0,20,1,4,0,0,0.4750335317574265,Low Engagement,Low Engagement
20,984.0,3600000.0,15,3,6,1,0,0.468008493081592,High Engagement,Low Engagement
20,636.0,3850000.0,6,5,6,0,0,0.47156665654870844,Low Engagement,Low Engagement
15,1286.0,148000.0,18,6,3,0,0,0.21406510627702824,Low Engagement,Low Engagement
28,420.0,5020000.0,11,5,1,0,1,0.5705232053534002,Low Engagement,High Engagement
23,811.0,4710000.0,17,1,3,1,1,0.7064520102443995,High Engagement,High Engagement
26,535.0,10400000.0,14,6,7,1,1,0.796789111789093,High Engagement,High Engagement
20,2168.0,607000.0,13,2,6,0,0,0.33690935204551525,Low Engagement,Low Engagement
26,801.0,2720000.0,14,6,6,1,0,0.4939046524417981,High Engagement,Low Engagement
20,754.0,3920000.0,10,5,10,0,0,0.44542519073873504,Low Engagement,Low Engagement
27,686.0,4050000.0,1,4,9,1,0,0.4493619751434735,High Engagement,Low Engagement
10,182.0,62700000.0,15,3,7,1,1,0.7547100401932431,High Engagement,High Engagement
22,527.0,7340000.0,11,4,8,0,1,0.6727582871994423,Low Engagement,High Engagement
15,686.0,113000.0,13,6,11,0,0,0.2057887193095264,Low Engagement,Low Engagement
25,253.0,4440000.0,0,1,12,0,0,0.2778943649012172,Low Engagement,Low Engagement
27,649.0,62700.0,2,6,5,1,0,0.3513867629662117,High Engagement,Low Engagement
17,431.0,13800000.0,19,6,3,1,1,0.6567505840327235,High Engagement,High Engagement
22,1751.0,3600000.0,6,3,5,0,0,0.4646181639978348,Low Engagement,Low Engagement
1,728.0,13400000.0,18,6,12,1,1,0.8674323572091884,High Engagement,High Engagement
20,966.0,6230000.0,19,0,1,1,1,0.6615336919350032,High Engagement,High Engagement
24,1026.0,23300000.0,2,4,12,1,1,0.7566722723233411,High Engagement,High Engagement
24,294.0,26400000.0,14,6,9,1,1,0.7563188053569989,High Engagement,High Engagement
22,487.0,304000.0,16,6,11,0,0,0.2538116479798035,Low Engagement,Low Engagement
26,533.0,21300000.0,17,1,6,1,1,0.7641159077294158,High Engagement,High Engagement
27,1195.0,4860000.0,15,1,6,1,1,0.6197279121315094,High Engagement,High Engagement
20,939.0,8420000.0,0,6,9,0,1,0.6925823395771254,Low Engagement,High Engagement
15,556.0,111000.0,13,5,10,0,0,0.26331387001330664,Low Engagement,Low Engagement
26,609.0,10400000.0,15,6,12,1,1,0.8107390035425851,High Engagement,High Engagement
19,2076.0,159000.0,16,0,3,0,0,0.2195296835290995,Low Engagement,Low Engagement
27,464.0,7880000.0,16,4,5,1,1,0.7252489113759664,High Engagement,High Engagement
